"biz_dat.business_id" "biz_dat.name" "biz_dat.stars" "biz_dat.longitude" "biz_dat.latitude" "biz_dat.state" "biz_dat.attributes..Take.out." "biz_dat.attributes..Takes.Reservations." "biz_dat.attributes..Wi.Fi." "biz_dat.attributes.Caters" "biz_dat.review_count"
"939" "jTGQUWGIVvL-aY03C5BEmw" "Cajun Queen Restaurant" 4 -80.821084 35.214525 "NC" TRUE TRUE "no" TRUE 237
"942" "YbqNbrnOEk2T0qIBbTivuQ" "Chicken Box Cafe" 4 -80.80088 35.2544169 "NC" TRUE FALSE "no" TRUE 48
"948" "X7VdashktoAExx5ksEBLXQ" "Bodrick's Bar-B-Q Rib Tips" 3.5 -80.8378516 35.2687693 "NC" TRUE FALSE "no" TRUE 7
"972" "xopQn_MCE8bSBOyhsj6pVw" "Pizza Hut" 2.5 -80.8919965 35.2440597 "NC" TRUE FALSE "no" FALSE 3
"974" "P4r-LsB1ldgvlgli40Yu-Q" "McDonald's" 2 -80.923791 35.228855 "NC" TRUE FALSE "free" FALSE 11
"978" "crKd3Kf3YYP8znwoMvcA-g" "Niko's Grill" 3 -80.920249 35.221112 "NC" TRUE FALSE "no" FALSE 8
"984" "M89wkxqAcXuVMtWh91BIjg" "Mr G's" 4 -80.927661 35.2137529 "NC" TRUE FALSE "no" TRUE 16
"987" "1AXQja1QV47FGU0Jp0CSxw" "Bojangles Restaurant" 3.5 -80.9259185 35.2289648 "NC" TRUE FALSE "no" FALSE 12
"988" "xP-6TN10JA_7C6-V1-JOEQ" "Waffle House" 3.5 -80.920439 35.2348251 "NC" TRUE FALSE "no" FALSE 17
"992" "cpxwd_iFG3Oh1LUMJn0rOQ" "Bar-B-Q King" 3.5 -80.8891254 35.2244894 "NC" TRUE FALSE "no" FALSE 73
"998" "DNr2McGXQLleQkJ0zaCBHQ" "Cicis Pizza" 3 -80.86844 35.089797 "NC" TRUE FALSE "no" FALSE 3
"999" "4kM-mP7z1nP015R2Tlz1Tw" "McDonald's" 3 -80.8333414793015 35.1497403163914 "NC" TRUE FALSE "free" FALSE 19
"1000" "wtUaFgHGHnopdYh5m-a25Q" "Burger King" 2.5 -80.830010175705 35.1489946559782 "NC" TRUE FALSE "free" FALSE 6
