"biz_rest.business_id" "biz_rest.state" "biz_rest.name" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.attributes.RestaurantsTakeOut" "biz_rest.attributes.RestaurantsReservations" "biz_rest.attributes.WiFi" "biz_rest.attributes.Caters" "biz_rest.review_count" "biz_rest.hours.Monday" "biz_rest.hours.Tuesday" "biz_rest.hours.Wednesday" "biz_rest.hours.Thursday" "biz_rest.hours.Friday" "biz_rest.hours.Saturday" "biz_rest.hours.Sunday" "num_checkins"
"41687" "dVhGY-mNwTWQzK01Zxuclw" "NV" "Yunnan Garden" 3.5 -115.1923226 36.1249257 TRUE FALSE "no" FALSE 267 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 1006
"41694" "DVJkxZkLKS76Khb2y6XA6A" "NV" "ProteinHouse" 3.5 -115.119517202 36.0160520683 TRUE FALSE "free" FALSE 344 "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" 2338
"41696" "dVkQImhIn-9BgYnm1yCUKA" "ON" "KOS Restaurant" 3 -79.4033257 43.6548651 TRUE FALSE "no" FALSE 69 "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "8:00-22:00" "8:00-22:00" 133
"41702" "DVMdl4I80wfkitkemcD65g" "PA" "Eat'n Park" 4 -80.0566215 40.4650156 TRUE FALSE "no" FALSE 9 "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" 10
"41704" "dVMP0_oELc7hf77NYCgudg" "ON" "Pearl" 3 -79.3849352 43.7690889 TRUE TRUE "no" FALSE 33 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" 91
"41716" "dVQFNgVlnxgitEXDQR7tfA" "NV" "Billy's BBQ" 4 -115.3097052 36.1146298 TRUE FALSE "no" FALSE 264 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 540
"41734" "dVvij7VRh55dISu02I0IGw" "OH" "Sangria y Tapas Bar & Restaurant" 4.5 -81.921821 41.467488 TRUE TRUE "free" TRUE 106 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 97
"41742" "DvxGK4R1_0LR9837DCOZXg" "AZ" "Luna Pizza" 4 -112.1778479 33.5513081 TRUE FALSE "no" TRUE 60 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-23:00" "10:00-23:00" "11:00-21:00" 287
"41756" "DW0ZvWuYaSvMcB_3LG5RGg" "NV" "Pei Wei" 3.5 -115.331443 36.161278 TRUE FALSE "no" TRUE 167 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 956
"41761" "dw2ST-AHUbu2xq0QNfngBA" "ON" "JOEY Don Mills" 3.5 -79.3447504 43.7337249 TRUE TRUE "free" FALSE 256 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" 487
"41765" "DW5TmdNGhepqrB0JGHnJ_A" "AZ" "Bragg's Factory Diner" 4 -112.0898341 33.4572256 TRUE FALSE "no" TRUE 212 "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" 648
"41766" "dW79jPJVpzlTKGF-1JAsaw" "PA" "Smallman Street Deli" 4 -79.923256 40.435556 TRUE FALSE "no" TRUE 108 "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-20:00" 231
"41767" "DW7ttoWMaI2jWN41gekbiA" "ON" "Mandarin Restaurant - Rexdale" 3 -79.5960125 43.7197196 TRUE TRUE "no" FALSE 17 "17:00-21:30" "17:00-21:30" "17:00-21:30" "17:00-21:30" "17:00-22:30" "16:15-22:30" "16:30-21:30" 30
"41772" "dW9hyQJLZ69uhlK1C0ecSw" "ON" "Greek Stop" 2.5 -79.6919234 43.6372916 TRUE FALSE "no" TRUE 17 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 24
"41774" "DWaKkloU4L5zJzWV4m-6TA" "AZ" "Pizini" 3.5 -111.7413942 33.3780196 TRUE FALSE "free" FALSE 12 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-12:00" "11:00-12:00" "11:00-22:00" 18
"41776" "dwAPMrdLwSn1KCsJzz_oLA" "NC" "Hickory Tavern" 2.5 -81.133374 35.225924 TRUE FALSE "free" TRUE 33 "11:00-0:00" "11:00-0:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-0:00" 135
"41779" "Dwau0pTROj2QsR_hz7JVoQ" "NC" "New China" 3.5 -81.0422163 35.2527471 TRUE FALSE "no" FALSE 14 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" 25
"41780" "dWAyhGhxfVvtLj3nPLT1DQ" "ON" "Left Bank Bistro" 4 -79.4197788 43.7354671 TRUE TRUE "free" TRUE 4 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" 21
"41781" "dWB0HT1nXQ2N8n3bvPKJuQ" "PA" "John's Chinese & Sushi Restaurant" 4 -80.051873 40.3527436 TRUE TRUE "free" TRUE 29 "11:30-21:30" "11:30-21:30" "11:30-21:30" "11:30-21:30" "11:30-22:30" "11:30-22:30" "12:00-21:30" 30
"41811" "DwIbLWmv6oWksXKXeHkWyA" "AZ" "KFC" 2 -112.152 33.5386 TRUE FALSE "free" FALSE 19 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-23:00" "10:00-20:00" "10:00-22:00" 28
"41812" "dwihZpiPkRm7Wt4vxDig-w" "QC" "Marius" 3.5 -73.573048 45.527218 TRUE FALSE "free" TRUE 7 "7:30-19:30" "7:30-19:30" "7:30-19:30" "7:30-19:30" "7:30-19:30" "9:00-19:30" "9:00-19:30" 4
"41814" "dwIu9LOUccHNe2nSpG1M3g" "ON" "South St. Burger" 3.5 -79.3220427 43.8496812 TRUE FALSE "no" FALSE 14 "11:30-21:00" "11:30-21:30" "11:30-21:00" "11:30-21:00" "11:30-22:00" "11:30-22:00" "11:30-21:00" 26
"41816" "dWJ7fG8Egp3Ips6j0T7Unw" "NV" "Rizano's Pizza" 3.5 -115.241875 36.116132 TRUE FALSE "no" TRUE 45 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-21:00" "12:00-21:00" 152
"41818" "DwJlGxAJvohbDR_5jV-ERA" "QC" "Le Fripon" 2.5 -73.553274 45.507656 FALSE TRUE "no" FALSE 31 "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "8:00-23:00" "8:00-23:00" 56
"41820" "dWk0mbhj79pK3WBp5oLtpw" "NV" "Rí Rá Irish Pub" 4 -115.176374 36.09271 TRUE TRUE "free" FALSE 862 "8:00-3:00" "8:00-3:00" "8:00-3:00" "8:00-3:00" "8:00-4:00" "9:00-4:00" "9:00-3:00" 3434
"41823" "dWliPaP9k43hSKGSujNFXg" "OH" "Piccolo Restaurant" 4 -81.438778 41.52617 TRUE TRUE "free" TRUE 57 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "16:00-21:00" 63
"41826" "DwmAsemahJywywhuqv5J1Q" "PA" "Sichuan Gourmet" 4 -79.9551590459 40.4389524203 TRUE TRUE "no" TRUE 95 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "12:00-21:00" 166
"41831" "dwNZks_N6paJzgU4zzwlWw" "AZ" "Popeyes Louisiana Kitchen" 2.5 -111.7472077 33.2941628 TRUE FALSE "no" TRUE 88 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" 74
"41838" "DwP10iEz5LGf3fhcVQZm0Q" "AZ" "Sushi Roku" 4 -111.924147 33.501547 TRUE TRUE "free" TRUE 403 "7:00-14:30" "7:00-14:30" "7:00-14:30" "7:00-14:30" "7:00-23:30" "7:00-11:00" "7:00-11:00" 1439
"41847" "dwQEZBFen2GdihLLfWeexA" "OH" "Don Tequila" 3.5 -81.300559 41.6806696 TRUE TRUE "no" TRUE 46 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:30" "11:00-22:30" "11:00-21:00" 122
"41855" "DwSFTVUZX0xIE6T54yp2JQ" "PA" "Patrick's Pub and Grille" 4 -80.2421342698 40.5466245751 TRUE FALSE "free" TRUE 56 "9:00-2:00" "9:00-2:00" "9:00-2:00" "9:00-2:00" "9:00-2:00" "7:00-2:00" "7:00-2:00" 90
"41862" "DwV9lb-2ErTMER4BQWG0xw" "NC" "Texas Roadhouse" 3.5 -80.711873 35.368956 TRUE FALSE "no" FALSE 84 "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 260
"41866" "DWWK7M6SsQwz0Dd2pOTOUQ" "AZ" "Barro's Pizza" 4 -112.112498167 33.857989213 TRUE FALSE "no" FALSE 57 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "10:30-22:00" 107
"41872" "DWZ0-MtRSJJjHe9VV7yl5A" "NC" "Las Lupitas" 4.5 -80.7789208 35.2581901 TRUE FALSE "no" TRUE 45 "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-20:00" 94
"41891" "DX6dTm7wcOBy498gGysdAQ" "OH" "On Tap Medina" 2.5 -81.7855022803 41.1359907122 TRUE TRUE "free" TRUE 56 "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 85
"41895" "DX88zzF2uG63hDZavRDJDQ" "ON" "Ground Burger Bar" 4 -79.4555359685 44.0522862359 TRUE TRUE "free" FALSE 73 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-0:00" "11:30-0:00" "11:30-22:00" 74
"41896" "dX90qyHzfC4Cxh-lNBAEgQ" "NV" "Sarahs Kitchen" 4 -115.01543453 36.0643771582 TRUE FALSE "free" FALSE 21 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 47
"41897" "dX9KSdyqBRNYbWzDT2PTkQ" "PA" "The Potato Patch" 4 -79.865458 40.390315 TRUE FALSE "no" FALSE 22 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 87
"41902" "Dxaz8OxaadecnWol18kAtw" "NV" "Yellowtail" 3.5 -115.175048352 36.1135089591 TRUE TRUE "free" FALSE 763 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-23:00" "17:00-23:00" "17:00-23:00" 1513
"41903" "DxbdfvNYPCyiLJDDPJK3Tg" "ON" "Hakka Bro's" 4 -79.4877773766 43.7544332083 TRUE TRUE "free" TRUE 20 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "12:00-22:00" 16
"41907" "DXCho3TSX6qKsRoEjGoGJg" "NC" "Zapata's Cantina Mexican Restaurant" 3 -80.749288 35.309226 TRUE TRUE "no" TRUE 107 "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-0:00" "11:00-2:00" "11:00-22:30" 279
"41914" "dxeu5YQIzw0jOp1cSVkimg" "NV" "Izakaya Go" 4.5 -115.189529033 36.1257028382 TRUE TRUE "free" FALSE 418 "17:00-2:00" "17:00-2:00" "17:00-2:00" "17:00-2:00" "17:00-3:00" "17:00-3:00" "17:00-2:00" 4144
"41940" "DXl9YviWyzAwMeUtrBPW7w" "ON" "Barrio" 2.5 -79.3434845 43.6604404 TRUE TRUE "free" TRUE 65 "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "10:00-1:00" "10:00-0:00" 36
"41952" "dXoeLzpG72P7F2Lwa01riQ" "AZ" "Chipotle Mexican Grill" 2.5 -112.359094705 33.6382111448 TRUE FALSE "no" TRUE 102 "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" 523
"41956" "DXP3MbE8srQITLlAuS45aQ" "PA" "Hunan Bar" 4 -79.9562773 40.4402935 TRUE TRUE "no" TRUE 47 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:30-21:30" 148
"41967" "DXsV1EmzKcsnz8bzCHyqnQ" "ON" "Sweet India Restaurant" 4 -79.6460587 43.7061471 TRUE FALSE "no" TRUE 55 "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" 63
"41968" "dXt7PAtGhxdgu7ff8iOZWA" "AZ" "Pokitrition - Poke Shop" 4.5 -111.8978008 33.3196626 TRUE FALSE "free" TRUE 167 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "12:00-20:00" 340
"41980" "dxvsOCvRPnHB6P3IN-KDuw" "AZ" "Sal's Gilbert Pizza" 4 -111.790612032 33.3290136355 TRUE TRUE "no" TRUE 350 "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-22:00" "10:30-22:00" "12:00-21:00" 645
"41983" "dXwDDsQv3tMzw69pqmD-Vw" "QC" "Cacao 70" 4 -73.5733406 45.5093578 TRUE FALSE "free" FALSE 51 "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-0:00" "10:00-0:00" "10:00-23:00" 94
"41985" "DXWnAkolXRYXP-fearRfmw" "ON" "Ajuker Chicken" 3 -79.4167575 43.6640454 TRUE TRUE "free" FALSE 20 "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "11:30-1:00" "11:30-12:00" 49
"41989" "Dxx9L6_wyfjiZieJJurptw" "AZ" "Panda Express" 3 -112.2773056 33.4653351 TRUE FALSE "free" TRUE 17 "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-22:00" "10:30-22:00" "10:30-21:00" 56
"41994" "DXy2MP6Zw7-y8ahPf_A1Wg" "ON" "Lezzet Shawarma Falafel House" 4 -79.6064425 43.624732 TRUE TRUE "no" TRUE 45 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "11:00-22:00" "11:00-22:00" "12:00-21:00" 59
"42013" "DY1_vls0_VQnTZ7CJ3AeFQ" "NV" "Feast Buffet" 3 -115.040552758 36.0607848791 FALSE FALSE "free" FALSE 196 "8:00-21:00" "8:00-21:00" "8:00-21:00" "8:00-21:00" "8:00-22:00" "8:00-22:00" "8:00-22:00" 1202
"42020" "Dy4jpdmBgLZRPA1IgMeg1w" "ON" "Lucy's Sea Cove & Oyster Bar" 3.5 -79.7571111 43.5961474 TRUE TRUE "no" TRUE 64 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-23:00" "11:30-23:00" "15:00-23:00" "15:00-22:00" 129
"42031" "DYAorbxOyubUB_wtQRCdug" "NV" "MadHouse Coffee" 4 -115.275526 36.129857 TRUE FALSE "free" FALSE 673 "5:30-5:30" "5:30-5:30" "5:30-5:30" "5:30-5:30" "5:30-5:30" "5:30-5:30" "5:30-5:30" 3261
"42049" "DYeqmpmGgCDaPD6u0nxYLA" "ON" "Korean Grill House" 3 -79.3871925045 43.8421215252 FALSE TRUE "free" FALSE 105 "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "11:30-1:00" "11:00-0:00" 280
"42051" "dyEYOzQmtIcP4hXvqrvtdg" "AZ" "Gus's New York Pizza & Bar" 2.5 -112.030295 33.662733 TRUE FALSE "free" FALSE 19 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-3:00" "11:00-3:00" "11:00-2:00" 81
"42054" "DYGCzsHi7pT4AAe8kh5Dug" "ON" "Chipotle Mexican Grill" 3.5 -79.3984056511 43.7081978771 TRUE FALSE "no" FALSE 76 "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" 149
"42056" "dygRCQs457VLQzygnwfjYw" "BW" "Caffé-Bar" 4.5 9.1766796548 48.772838824 TRUE FALSE "no" FALSE 35 "8:30-1:00" "8:30-1:00" "8:30-1:00" "8:30-2:00" "8:30-2:00" "9:00-3:00" "12:00-0:00" 31
"42058" "DYhGhT9bvsija74RVt8tCQ" "OH" "Alex Bistro & Bar CLOSED" 3 -81.6812 41.500613 TRUE TRUE "no" TRUE 18 "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-23:00" "16:00-23:00" "16:00-21:00" 15
"42062" "DYi6jJYhK3kTfaYn81tORQ" "AZ" "Gypsy's Roadhouse" 4.5 -111.9711193 33.4659035 TRUE FALSE "free" FALSE 13 "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-2:00" 49
"42064" "dyiNt5ZTQQsLpX3Vt-hWng" "OH" "Mi Casita Mexican Restaurant & Taqueria" 3 -81.7729806 41.46034 TRUE FALSE "free" FALSE 13 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-0:00" "11:00-0:00" "11:00-22:00" 16
"42067" "dYJ7uBteyJiNHCLyK1ZOoQ" "ON" "Kenzo Ramen" 4 -79.4046878 43.6469635 TRUE FALSE "no" FALSE 22 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 68
"42073" "DYkC6U-wa5gtwMFOV0EBYg" "ON" "Pita Land" 3.5 -79.377009 43.6603678 TRUE FALSE "no" FALSE 37 "10:00-4:00" "10:00-4:00" "10:00-4:00" "10:00-4:00" "10:00-3:00" "11:00-3:00" "11:00-3:00" 75
"42081" "dYMhfzyZyklXELmYq_wfKg" "NV" "Flavors The Buffet" 3 -115.172435045 36.1199282584 FALSE TRUE "no" FALSE 554 "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" 1218
"42082" "dYmm5468BdWxWgksXpy2TQ" "AZ" "Panda Express" 3.5 -112.1872218 33.6671434 TRUE FALSE "no" TRUE 17 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:30-21:30" 118
"42083" "dymTcKYWglcvrPLmOcoJJg" "ON" "St. Louis Bar & Grill" 4.5 -79.7042309 43.645874 TRUE TRUE "free" TRUE 8 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-1:00" "12:00-1:00" "12:00-0:00" 23
"42086" "DymZ5vpm7vkSsR__-4sflw" "AZ" "Roka Akor - Scottsdale" 4 -111.925143 33.54268 TRUE TRUE "no" TRUE 687 "16:30-22:00" "16:30-22:00" "16:30-22:00" "16:30-22:00" "16:30-23:00" "16:30-23:00" "16:30-22:00" 1999
"42089" "DYnFGGYU3SkrKT_G4djpYQ" "AZ" "America's Taco Shop" 3.5 -111.9301868 33.4937839 TRUE FALSE "no" TRUE 132 "10:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-18:00" 1304
"42092" "DYO9Uf1oLvZBX22WFZeu3g" "AZ" "My Big Fat Greek Restaurant" 3 -112.2649116 33.535919 TRUE TRUE "free" TRUE 49 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 213
"42094" "DyOzNIeXUksPNLXYHnB-oQ" "NC" "Sabor Latin Street Grill" 4.5 -80.8216897 35.2162131 TRUE FALSE "no" TRUE 582 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 3533
"42095" "DYPbHkUtdq8HDecVxt4TwQ" "ON" "Big Chubby Burger" 3 -79.4024449 43.6556342 TRUE FALSE "no" TRUE 19 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 27
"42098" "dYpnpMZowfGsCisHhABPZg" "NV" "Samurai Sam's" 3 -115.1714179 36.0512304 TRUE FALSE "no" TRUE 70 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "11:00-21:00" "11:00-19:00" 255
"42103" "dyq9my28t5NW8N-6s8OgfA" "ON" "Snug Harbour Seafood Bar and Grill" 3.5 -79.5842999825 43.5504098136 TRUE TRUE "no" FALSE 137 "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-0:30" "11:30-0:30" "11:30-23:00" 194
"42107" "dYRBUFPlqTfoNnwoqEjwTQ" "QC" "Das Bier" 3.5 -73.5907975 45.5406882 FALSE TRUE "free" TRUE 13 "15:00-0:00" "16:00-3:00" "15:00-3:00" "15:00-3:00" "15:00-3:00" "15:00-3:00" "15:00-0:00" 14
"42117" "dYU5hXVyPsm7C-T-13I_YQ" "AZ" "Orient Sushi Grill" 4 -111.8212717 33.3494409 TRUE TRUE "no" FALSE 179 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "16:30-22:00" 596
"42119" "DYuOxkW4DtlJsTHdxdXSlg" "NV" "Bahama Breeze" 4 -115.154684579 36.1150923353 TRUE TRUE "free" TRUE 661 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" 2212
"42137" "DyZjlW-8b3tcWnTRUgVu7Q" "AZ" "Stingray Sushi" 3 -111.969203 33.31819 TRUE TRUE "no" TRUE 90 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 236
"42138" "dYZqJ2S1ND9KghLIKJg71g" "NV" "Tacos El Burrito Loco" 3.5 -115.1904906 36.1462942 TRUE FALSE "no" TRUE 21 "8:00-21:30" "8:00-21:30" "8:00-21:30" "8:00-21:30" "8:00-21:30" "8:00-21:30" "8:00-21:30" 45
"42140" "dz-d37YpPGgAmT17A9HJTQ" "ON" "Mr. Greek Express" 2.5 -79.4119378 43.7641493 TRUE TRUE "free" TRUE 15 "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-22:00" "11:00-22:00" 19
"42162" "dZB5VuI4mCVRz8qQUwUgCg" "NV" "Krazy Sushi" 3.5 -115.287007 36.291501 TRUE TRUE "free" TRUE 274 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-23:00" 923
"42165" "DZbFhPkHiGFFRTVL8m7sYw" "NV" "Bon Chef Cafe" 4 -115.1025425 35.9975751 TRUE TRUE "free" TRUE 86 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "8:00-22:00" "8:00-21:00" 256
"42167" "DZbMvBWb3OjC9045XLHmVg" "AZ" "Native Grill & Wings" 3 -112.388142937 33.4641460987 TRUE TRUE "free" FALSE 46 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "11:00-23:00" 208
"42179" "DZfFFSVFVJVxs3vfFVVf0w" "AZ" "Famous Ray's Pizza" 4 -112.0694743 33.6418073 TRUE FALSE "free" TRUE 177 "10:00-22:30" "10:00-22:30" "10:00-22:30" "10:00-22:30" "10:00-23:30" "10:00-23:30" "10:00-22:30" 1026
"42182" "dZh_YnKaX41cPHg1nTOx-g" "AZ" "Chipotle Mexican Grill" 4 -111.881921087 33.58087293 TRUE FALSE "no" TRUE 42 "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" 470
"42190" "dzKDFiWLkspVBJKGfT0M2g" "NV" "Oyshi Sushi" 3.5 -115.251559111 36.143582706 TRUE TRUE "free" FALSE 419 "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:30" "11:30-23:30" "12:00-22:30" 1323
"42191" "DzKl51tivGJMLiNsQqf38w" "NV" "Island Sushi & Grill" 4 -115.1179256 36.0182263 TRUE TRUE "free" TRUE 827 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" 4916
"42192" "DZkl5MleRKh0isxj1Y2Abg" "ON" "Chabrol Restaurant" 4.5 -79.391714 43.6710492 FALSE TRUE "no" FALSE 44 "12:00-22:00" "12:00-22:00" "12:00-22:00" "12:00-22:00" "12:00-22:00" "12:00-22:00" "12:00-22:00" 35
"42195" "DZkVWxknDUuWX0-wmtGhQw" "NV" "Deli Pizza Cafe" 3 -115.171471 36.0357393 TRUE FALSE "no" TRUE 28 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" 21
"42198" "Dzm3_K2lnLLcGPVLZBZtog" "AZ" "Empire Asian Bistro" 3 -111.6692985 33.3632931 TRUE FALSE "no" FALSE 117 "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" 16
"42211" "DZpUH96f1Uomk7N8FlZLjg" "AZ" "Grabbagreen" 3.5 -111.9222691 33.5840139 TRUE FALSE "free" FALSE 61 "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "9:00-20:00" 237
"42222" "DzshamutZ350laV6Ji9xFQ" "NV" "Cafe de Cebu" 3 -115.225183 36.1278425 TRUE TRUE "free" TRUE 84 "16:00-22:00" "11:00-1:00" "11:00-1:00" "11:00-23:00" "11:00-1:00" "11:00-1:00" "11:00-0:00" 217
"42228" "dztcNrIVDg6D-6sFOOofDA" "NC" "Sunflour Baking Company" 4 -80.8571609 35.2109428 TRUE FALSE "free" TRUE 86 "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-16:00" 208
"42235" "DzVexh7EGld_2ziA1lRq9w" "AZ" "Smashburger" 3.5 -111.8874099 33.6297775 TRUE FALSE "free" FALSE 124 "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-21:30" "10:30-22:00" "10:30-22:00" "10:30-21:30" 573
"42245" "DZWAS8k2F18CrAojI8meuQ" "BW" "King's Palace" 3.5 9.1084507 48.7298986 TRUE TRUE "no" FALSE 38 "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" 35
